Date,Time,Open,High,Low,Close,Volume
2025-11-12,03:00,4130.20,4131.50,4117.50,4117.70,6229
2025-11-12,04:00,4117.60,4119.40,4109.40,4116.50,8015
2025-11-12,05:00,4116.50,4116.80,4104.40,4110.50,6647
2025-11-12,06:00,4110.50,4124.20,4108.90,4123.90,6401
2025-11-12,07:00,4123.70,4130.70,4118.60,4122.30,7305
2025-11-12,08:00,4122.60,4138.20,4117.40,4136.80,9629
2025-11-12,09:00,4136.70,4139.60,4126.20,4130.60,6154
2025-11-12,10:00,4130.40,4135.20,4123.40,4133.30,6955
2025-11-12,11:00,4133.30,4137.00,4128.50,4131.70,4416
2025-11-12,12:00,4131.40,4145.90,4130.30,4136.40,9079
2025-11-12,13:00,4136.40,4139.00,4128.70,4132.90,10102
2025-11-12,14:00,4133.10,4146.80,4130.70,4142.70,15614
2025-11-12,15:00,4142.70,4192.30,4140.70,4187.90,47411
2025-11-12,16:00,4187.70,4204.60,4186.50,4203.00,27228
2025-11-12,17:00,4203.20,4212.60,4198.40,4205.80,21502
2025-11-12,18:00,4206.10,4218.50,4196.90,4213.50,31631
2025-11-12,19:00,4213.80,4216.50,4197.80,4203.30,10680
2025-11-12,20:00,4203.40,4205.50,4196.00,4201.30,9792
2025-11-12,21:00,4201.30,4207.90,4196.50,4201.40,5153
2025-11-12,23:00,4202.40,4210.00,4190.30,4195.60,0
2025-11-13,00:00,4195.50,4212.50,4189.10,4209.30,8200
2025-11-13,01:00,4209.20,4213.00,4183.20,4197.00,11371
2025-11-13,02:00,4197.10,4201.00,4188.10,4194.20,7782
2025-11-13,03:00,4194.00,4217.20,4193.90,4216.80,10175
2025-11-13,04:00,4216.90,4223.90,4207.70,4214.60,7975
2025-11-13,05:00,4213.30,4221.40,4211.20,4216.00,8281
2025-11-13,06:00,4215.40,4216.40,4206.90,4214.40,6847
2025-11-13,07:00,4214.40,4224.90,4212.40,4224.60,8405
2025-11-13,08:00,4224.70,4244.30,4223.40,4237.50,13695
2025-11-13,09:00,4237.40,4245.10,4230.00,4238.30,8850
2025-11-13,10:00,4238.10,4245.60,4226.60,4230.30,8622
2025-11-13,11:00,4230.70,4236.90,4224.00,4235.00,7992
2025-11-13,12:00,4234.70,4250.00,4234.20,4247.40,10175
2025-11-13,13:00,4247.20,4248.70,4224.50,4236.70,16128
2025-11-13,14:00,4236.90,4237.50,4188.60,4199.90,36248
2025-11-13,15:00,4199.80,4209.70,4190.50,4206.60,18274
2025-11-13,16:00,4206.60,4215.80,4200.00,4210.80,17260
2025-11-13,17:00,4211.00,4212.80,4197.70,4206.30,13588
2025-11-13,18:00,4206.20,4207.80,4148.50,4161.60,45551
2025-11-13,19:00,4161.50,4174.50,4149.50,4167.80,17758
2025-11-13,20:00,4167.80,4174.80,4164.20,4168.10,7701
2025-11-13,21:00,4167.90,4185.00,4165.00,4174.50,5281
2025-11-13,23:00,4174.90,4189.60,4173.10,4188.90,0
2025-11-14,00:00,4189.00,4192.60,4180.90,4186.90,5414
2025-11-14,01:00,4186.50,4196.60,4176.20,4193.00,8450
2025-11-14,02:00,4193.10,4213.00,4191.30,4209.80,8733
2025-11-14,03:00,4209.60,4215.10,4204.20,4207.70,4745
2025-11-14,04:00,4207.60,4209.00,4199.50,4206.20,3416
2025-11-14,05:00,4206.30,4206.60,4186.40,4192.80,7865
2025-11-14,06:00,4192.30,4196.20,4171.70,4177.30,8401
2025-11-14,07:00,4177.70,4186.00,4162.10,4184.40,11017
2025-11-14,08:00,4184.50,4190.70,4172.60,4179.10,10415
2025-11-14,09:00,4178.60,4183.60,4169.00,4171.90,7745
2025-11-14,10:00,4171.70,4174.30,4162.60,4170.70,8288
2025-11-14,11:00,4171.00,4172.80,4133.30,4135.60,16872
2025-11-14,12:00,4135.10,4143.40,4109.00,4118.30,24708
2025-11-14,13:00,4117.80,4121.30,4042.40,4056.50,55493
2025-11-14,14:00,4056.40,4085.00,4032.60,4083.70,44512
2025-11-14,15:00,4083.40,4098.20,4069.10,4095.50,30350
2025-11-14,16:00,4095.70,4113.20,4082.60,4107.10,18566
2025-11-14,17:00,4107.40,4112.70,4095.40,4101.50,16133
2025-11-14,18:00,4101.60,4106.00,4082.60,4100.00,17643
2025-11-14,19:00,4100.20,4102.00,4089.50,4091.80,6514
2025-11-14,20:00,4092.20,4094.20,4077.50,4088.90,9018
2025-11-14,21:00,4088.60,4094.20,4078.80,4094.20,3721
2025-11-16,23:00,4100.00,4107.60,4094.00,4097.00,4908
2025-11-17,00:00,4097.60,4099.70,4081.00,4084.40,5254
2025-11-17,01:00,4084.30,4103.60,4083.80,4092.20,7210
2025-11-17,02:00,4092.40,4095.30,4081.60,4082.90,7691
2025-11-17,03:00,4082.60,4086.90,4070.50,4084.00,8501
2025-11-17,04:00,4084.20,4089.10,4077.80,4078.80,5343
