Date,Open,High,Low,Close,Volume
2026-06-30,4002.60,4049.70,3962.50,4022.90,1108
2026-07-01,4013.10,4100.00,3963.00,4068.30,770
2026-07-02,4067.50,4140.10,4062.00,4112.70,228
2026-07-06,4175.40,4199.70,4134.20,4155.10,1024
2026-07-07,4126.50,4167.20,4107.20,4145.30,53
2026-07-08,4116.30,4120.30,4053.00,4070.90,292
2026-07-09,4066.40,4130.60,4064.20,4130.60,13
2026-07-10,4122.30,4125.80,4090.60,4104.10,389
2026-07-13,4081.00,4081.00,3985.90,3997.00,679
2026-07-14,3995.70,4091.20,3986.50,4061.10,1281
2026-07-15,4049.10,4070.10,4019.40,4044.00,374
2026-07-16,4030.50,4030.50,3972.60,3985.60,812
2026-07-17,3975.50,4017.20,3964.20,4012.70,141
2026-07-20,4003.40,4018.90,4002.70,4010.30,231
2026-07-21,4002.10,4071.10,3999.70,4071.10,87
2026-07-22,4096.20,4152.10,4096.20,4146.90,133
2026-07-23,4129.90,4130.90,4046.60,4046.60,59
2026-07-24,4067.60,4068.00,4067.60,4067.60,2
2026-07-27,4090.10,4107.90,4072.70,4074.50,36
2026-07-28,4025.70,4036.30,4025.70,4036.30,248
2026-07-29,4018.10,4034.70,4017.90,4034.70,89664
2026-07-30,4060.70,4118.50,4028.50,4100.10,16985
2026-07-31,4102.40,4102.40,4022.40,4049.10,1166
2026-08-03,4083.40,4083.50,4026.50,4033.70,698
2026-08-04,4050.50,4095.40,4048.80,4095.40,426
2026-08-05,4130.00,4262.20,4129.50,4245.80,1349
2026-08-06,4297.00,4297.00,4228.00,4242.00,1349
2026-08-07,4298.30,4432.30,4288.00,4399.40,126740
