Trade #,Entry Date,Exit Date,Type,Entry Price,Exit Price,Initial SL,Hard TP,Lots,PnL USD,Balance,Result,Exit Reason
28,2025-10-30 05:00,2025-10-30 09:00,SHORT,3976.20,4016.85,4016.85,3874.58,5.68,-230.96,11317.05,LOSS,"Stop Loss Hit"
29,2025-10-30 12:00,2025-10-30 14:00,SHORT,3972.60,4012.04,4012.04,3873.99,5.74,-226.34,11090.71,LOSS,"Stop Loss Hit"
30,2025-11-04 09:00,2025-11-04 14:00,SHORT,4001.10,3940.08,4025.51,3940.08,9.09,554.54,11645.24,WIN,"Take Profit Target Hit"
31,2025-11-05 23:00,2025-11-06 07:00,SHORT,3982.80,4004.10,4004.10,3929.55,10.93,-232.90,11412.34,LOSS,"Stop Loss Hit"
32,2025-11-07 16:00,2025-11-10 05:00,LONG,4015.80,4072.61,3993.08,4072.61,10.04,570.62,11982.95,WIN,"Take Profit Target Hit"
33,2025-11-11 19:00,2025-11-12 02:00,LONG,4128.40,4128.90,4109.25,4176.27,12.52,6.26,11989.21,WIN,"Breakeven / Trailing SL"
34,2025-11-12 08:00,2025-11-12 15:00,LONG,4136.80,4187.27,4116.61,4187.27,11.88,599.46,12588.67,WIN,"Take Profit Target Hit"
35,2025-11-14 02:00,2025-11-14 06:00,LONG,4209.80,4179.63,4179.63,4285.22,8.35,-251.77,12336.90,LOSS,"Stop Loss Hit"
36,2025-11-18 11:00,2025-11-18 13:00,SHORT,4039.00,4069.19,4069.19,3963.54,8.17,-246.74,12090.16,LOSS,"Stop Loss Hit"
37,2025-11-19 23:00,2025-11-20 02:00,LONG,4104.30,4073.58,4073.58,4181.09,7.87,-241.80,11848.36,LOSS,"Stop Loss Hit"
38,2025-11-20 15:00,2025-11-21 12:00,SHORT,4069.50,4069.00,4103.52,3984.44,6.96,3.48,11851.84,BREAKEVEN,"Breakeven / Trailing SL"
39,2025-11-21 20:00,2025-11-24 17:00,SHORT,4064.50,4098.19,4098.19,3980.28,7.04,-237.04,11614.80,LOSS,"Stop Loss Hit"
40,2025-11-25 09:00,2025-11-25 10:00,LONG,4161.90,4129.81,4129.81,4242.14,7.24,-232.30,11382.51,LOSS,"Stop Loss Hit"
41,2025-11-25 13:00,2025-11-25 14:00,LONG,4181.80,4136.98,4136.98,4293.85,5.08,-227.65,11154.86,LOSS,"Stop Loss Hit"
42,2025-11-25 17:00,2025-12-02 16:00,LONG,4180.50,4181.00,4123.31,4323.47,3.90,1.95,11156.81,BREAKEVEN,"Breakeven / Trailing SL"
43,2025-12-02 20:00,2025-12-04 05:00,LONG,4241.60,4180.62,4180.62,4394.06,3.66,-223.14,10933.67,LOSS,"Stop Loss Hit"
44,2025-12-08 05:00,2025-12-08 06:00,LONG,4246.30,4216.03,4216.03,4321.98,7.22,-218.67,10715.00,LOSS,"Stop Loss Hit"
